raw_name,name_group
abe,abie
abbey,abigail
abbie,abigail
abby,abigail
gail,abigail
ab,abner
bram,abraham
cacia,acacia
acel,acelin
asce,acelin
achill,achilles
akil,achilles
ace,acie
acke,ackerley
axel,ackerley
elke,adalheid
heidi,adalheid
aleit,adalheidis
ina,adallina
lina,adallina
addie,adelaide
addy,adelaide
lady,adelaide
alli,adelheid
aleid,adelheyd
aleida,adelheyd
kisha,adelicia
lisha,adelicia
ada,adelina
adela,adelina
delinda,adelinda
aline,adeline
deline,adeline
lene,adilene
ahlf,adolf
dolph,adolph
doncia,adoncia
adora,adoracion
arie,adriaan
drina,adriana
adrie,adrianne
aethel,aethelflaed
afanas,afanasii
afon,afanasii
afonas,afanasii
afonik,afanasii
afonika,afanasii
afonka,afanasii
afonos,afanasii
rika,affrika
aggie,agatha
agnes,agatha
nest,agatha
nesta,agatha
tina,agostina
tino,agostino
grusha,agrafena
bert,ailbert
aila,aileen
ailee,aileen
ailey,aileen
ailie,aileen
dand,aindrea
al,aladdin
lana,alana
alondra,alejandra
saso,aleksander
sasha,aleksandr
shura,aleksandr
aleksandra,aleksandrina
sasa,aleksandrina
ale,aleksanteri
santeri,aleksanteri
santtu,aleksanteri
helen,alenka
sandra,alessandra
sandro,alessandro
leta,aleta
letha,aletha
alec,alexander
alechjo,alexander
aleck,alexander
alex,alexander
alic,alexander
alick,alexander
alik,alexander
leka,alexander
lex,alexander
sander,alexander
sandy,alexander
xan,alexander
xander,alexander
zander,alexander
alexa,alexandra
lexa,alexandra
lexi,alexandra
lexie,alexandra
lexine,alexandra
lexy,alexandra
xandra,alexandra
zandra,alexandra
rin,alexandrina
rina,alexandrina
sandrine,alexandrine
sandu,alexandru
alexia,alexina
lexia,alexina
lexus,alexus
fons,alfonso
fonsie,alfonso
fonz,alfonso
fonzie,alfonso
alf,alfred
alfie,alfred
alfy,alfred
algimas,algimantas
algis,algimantas
ella,alisander
allie,alison
ally,alison
aloys,aloysius
pertti,alpertti
vena,alvena
alvie,alvin
alvy,alvin
aleksey,alyosha
lyssa,alyssa
eliska,alzbeta
elita,alzbeta
mab,amabel
mabel,amabel
mandy,amanda
amara,amarantha
ambrogio,ambrogino
gino,ambrogino
ambie,ambrose
amby,ambrose
brose,ambrose
melia,amelia
minta,amynta
minty,amynta
ann,anabella
annie,anabella
cleto,anacleto
cletes,anacletus
akoni,anakoni
anastay,anastasia
natasa,anastasia
stacey,anastasia
tasia,anastasia
tasoula,anastasia
staas,anastasius
stasius,anastasius
asya,anastasiya
nastasya,anastasiya
nastia,anastasiya
nastya,anastasiya
andris,andrãs
bandi,andrãs
andee,andrea
andi,andrea
andri,andrea
andy,andrea
drea,andrea
drew,andrew
dries,andries
drugi,andrzej
nye,aneirin
etta,anetta
ettie,anetta
jetta,anetta
ange,angel
angela,angelien
angie,angelien
angele,angeline
gus,angus
ana,anita
ania,anka
leif,anleifr
anca,anna
ane,anna
anja,anna
anni,anna
ans,anna
anu,anna
anke,anneke
anelie,anneliese
annelie,anneliese
anne,anne-marie
nita,annita
nunzia,annunziata
anya,annushka
aniko,annuska
anssi,anselm
selma,anselma
asher,anshel
anstey,anstice
tero,antero
tone,anthony
toney,anthony
tonjes,anthony
tony,anthony
toinette,antoinette
antonius,antonello
teunis,antonello
theunis,antonello
antonia,antonette
toni,antonette
tonia,antonette
tonka,antonette
tonio,antonio
tono,antonio
anchjo,antono
aodh,aodhagan
polina,apollinariya
polona,apolonija
archie,archibald
ardi,ardian
retha,aretha
arina,arisha
naldo,arnaldo
arne,arnkell
arn,arnold
arndt,arnold
arnie,arnold
arny,arnold
art,arthur
artie,arthur
arto,artturi
arttu,artturi
ash,ashley
sassa,astrid
asta,astrithr
thanos,athanasios
audie,audrey
gussie,augusta
gusta,augusta
stijn,augustijn
aku,aukusti
kusti,aukusti
avila,aveline
avi,aviram
baibin,bairbre
bartle,bairtlimã‰ad
bartley,bairtlimã‰ad
bab,barbara
babe,barbara
babette,barbara
babs,barbara
barb,barbara
barbe,barbara
barbel,barbara
barbie,barbara
basia,barbara
bara,barcinka
barbora,barcinka
barka,barcinka
baruna,barcinka
barunka,barcinka
baruska,barcinka
bora,barcinka
barna,barnabãs
barney,barnabas
bartel,bartholomeus
mies,bartholomeus
bart,bartholomew
tolly,bartholomew
bartosz,bartlomiej
bartolo,bartolomeo
meo,bartolomeo
bas,basil
baz,basil
bashe,batyah
basya,batyah
beatie,beatrice
bice,beatrice
bea,beatrix
bee,beatrix
trix,beatrix
beda,bedrich
bindy,belinda
lita,belita
phoebe,belphoebe
bettino,benedetto
ben,benedict
bennie,benedict
benny,benedict
bento,benjamim
benji,benjamin
benjie,benjamin
benjy,benjamin
bernie,bernard
bernardo,bernardino
berenice,bernetta
bunny,bernetta
bertha,bertie
bev,beverly
baila,beylke
biagio,biagino
bina,binke
gittan,birgitta
dana,bogdana
mila,bohumila
milada,bohumila
milana,bohumila
milena,bohumila
bolek,boleslaw
boris,borya
bo,bosse
brad,braden
brand,brandi
bran,brandon
gwen,brangwen
branko,branislav
branka,branislava
biddy,bride
brid,brighid
gitta,brigitte
rita,brita
bronius,bronislovas
bron,bronwen
brunhild,brunhilde
irmhild,brunhilde
nilda,brunilda
bud,buddy
burt,burton
cael,caelan
cait,caitriona
cale,caleb
callie,callista
calix,callistus
cal,calvin
cam,cameron
cammie,camilla
milla,camilla
millie,camilla
camp,campbell
candy,candace
cande,candelaria
candelas,candelaria
cara,carita
carlos,carlito
carmel,carmelita
carmen,carmencita
mina,carmina
cari,caroline
carol,caroline
carrie,caroline
cass,cassandra
cassie,cassandra
cath,catherine
cathy,catherine
cadi,catrin
trina,catrina
riona,catriona
ceallach,ceallachan
cearbhall,cearbhallan
cilla,cecilia
sessy,cecilia
silke,cecilia
sissy,cecilia
cesare,cesarino
chana,chani
arlie,charlene
arline,charlene
carla,charlene
carlin,charlene
charla,charlene
charles,charlene
charlie,charlene
charlot,charlene
chas,charlene
chaz,charlene
chip,charlene
chuck,charlene
lotta,charlotta
lotte,charlotte
lottie,charlotte
tottie,charlotte
charna,charnette
cher,cherilyn
cherette,cherilyn
cheri,cherilyn
cherie,cherilyn
cherry,cherilyn
cheryl,cherilyn
chet,chester
amaka,chiamaka
chiara,chiarina
chickie,chiquita
chris,christabel
chirsty,christelle
chrissie,christelle
christie,christelle
christine,christelle
christy,christelle
ciorsdan,christelle
ciorstag,christelle
curstaidh,christelle
tiana,christiana
christa,christina
kristia,christina
kristy,christina
stina,christina
kit,christopher
topher,christopher
chryssa,chrysanta
chuy,chucho
emeka,chukwuemeka
cian,cianan
cindy,cindra
ciro,cirino
rino,cirino
clare,clarence
clara,claretta
claramae,claretta
claramay,claretta
clarette,claretta
claude,claudette
claudie,claudette
clay,clayton
clem,clement
cleo,cleopatra
cleve,cleveland
cliff,clifford
clint,clinton
conall,conallan
concha,concepcion
concetta,concettina
chita,conchita
connie,constance
costel,constantine
costica,constantine
costin,constantine
chelo,consuelo
suelo,consuelo
coral,coralie
corrie,corinna
cokkie,cornelia
kees,cornelius
enzo,crescenzo
cristi,cristian
cross,croccifixio
crocetta,crocifissa
cruz,cruzita
curt,curtis
cuddy,cuthbert
cy,cyrus
cibor,czcibor
day,daffodil
dee,daffodil
dai,dafydd
taffy,dafydd
dal,dalibor
dalek,dalibor
daleka,dalibora
dalena,dalibora
dalenka,dalibora
dalka,dalibora
daan,daniã‹l
danette,daniella
dania,daniella
danita,daniella
dan,danousek
danek,danousek
danes,danousek
dani,danousek
daniel,danousek
danni,danousek
danny,danousek
dara,darayavahush
darja,darinka
darla,darlene
dave,david
davey,david
davie,david
davy,david
daw,david
vina,davina
deb,deborah
debbie,deborah
debi,deborah
debra,deborah
debs,deborah
del,delice
demi,demetria
tria,demetria
den,deneb
deni,denise
desi,desiderio
dewi,dewydd
di,diana
didi,diana
dirk,diederick
dick,diederik
tiede,diederik
till,dieter
dima,dimitri
mitja,dimitrij
dion,diodore
diot,dionysia
dix,dixie
mitya,dmitri
lola,dolores
loris,dolores
dolaidh,domhnall
donaidh,domhnall
donal,domhnall
dom,dominic
nic,dominic
don,donald
donny,donald
donata,donatella
donato,donatello
ditte,dorete
dora,doretta
dory,doretta
doortje,dorothea
thea,dorothea
tiia,dorothea
dolly,dorothy
dot,dorothy
dottie,dorothy
dorika,dorottya
dougal,dougie
doug,douglas
dragos,dragomir
mira,drahomira
dud,dudley
duff,duffy
mitica,dumitru
dunky,duncan
avdotya,dunyasha
dunya,dunyasha
dante,durante
dusek,dusanek
dusa,dusanka
dusana,dusanka
duska,dusanka
dusty,dustin
dwyn,dwynwyn
dyl,dylan
ebba,eadburga
adam,eade
eb,ebenezer
eben,ebenezer
ebbe,eberhard
ebbie,ebner
ed,edgar
edie,edith
lalo,eduardo
edi,eduart
edda,edvige
eddie,edward
ned,edward
ted,edward
teddy,edward
dyta,edyta
idzi,egidiusz
udi,ehud
dreda,eldreda
elea,eleanor
ellie,eleanor
nell,eleanor
leanora,eleanora
lenora,eleanora
lefteris,eleftherios
teris,eleftherios
lena,elena
elli,eleonoora
leonora,eleonora
leonore,eleonore
freda,elfreda
elfi,elfriede
friede,elfriede
liisa,eliisa
liisi,eliisa
liisu,eliisabet
lisbet,elisabet
bess,elisabeth
bessie,elisabeth
bessy,elisabeth
bet,elisabeth
beth,elisabeth
bethan,elisabeth
elisa,elisabeth
elise,elisabeth
elissa,elisabeth
elsa,elisabeth
else,elisabeth
elsie,elisabeth
ilse,elisabeth
liesa,elisabeth
liese,elisabeth
liesel,elisabeth
lis,elisabeth
lisa,elisabeth
lisbeth,elisabeth
lise,elisabeth
lisette,elisabeth
ely,eliyahu
spela,elizabeta
betsy,elizabeth
bette,elizabeth
bettie,elizabeth
betty,elizabeth
buffy,elizabeth
eliza,elizabeth
libby,elizabeth
lili,elizabeth
liz,elizabeth
liza,elizabeth
lizbeth,elizabeth
lizzie,elizabeth
tetty,elizabeth
elle,ellen
elspie,elspeth
ela,elzbieta
em,emelia
mirko,emerik
manny,emmanuel
emma,emmet
encarna,encarnacion
encarnita,encarnacion
rico,enrico
quique,enrique
rasmus,erasmus
rastus,erastus
irma,ermelinda
ern,ernest
ernie,ernest
bozsi,erzsebet
erzsi,erzsebet
zsizsi,erzsebet
zsoka,erzsebet
essie,estelle
estee,estelle
essa,esther
esta,esther
eszti,eszter
hardy,ethelhard
fruzsina,eufrozina
gene,eugene
gena,eugenia
genia,eugenia
genie,eugenia
laia,eulã€lia
eula,eulalia
eulia,eulalia
lalia,eulalia
effie,euphemia
eppie,euphemia
femie,euphemia
phemie,euphemia
stacia,eustacia
stathis,eustathios
eva,evicka
eve,evie
zeke,ezekiel
fabo,fabian
brizio,fabrizio
feivel,faivish
fetije,fatjeta
flick,felicia
flicka,felicia
licia,felician
nella,fenella
filat,feofilakt
ferd,ferdinand
ferdie,ferdinand
ferdy,ferdinand
nandy,ferdinand
feri,ferenc
ferko,ferenc
fergie,fergus
ferro,ferruccio
delma,fidelma
fionn,fionnagan
barra,fionnbarr
nuala,fionnuala
fitz,fitzroy
flann,flannan
fleur,fleuretta
flo,floella
florrie,florence
flossie,florence
flora,floretta
flore,florette
folki,folkvarthr
franco,francesco
cissy,francine
fanny,francine
fran,francine
france,francine
frances,francine
francis,francine
frank,francine
frankie,francine
frannie,francine
chica,francisca
paca,francisca
paquita,francisca
franci,franciska
francka,franciska
francette,francoise
frang,frangan
chico,frascuelo
curro,frascuelo
francisco,frascuelo
frasquito,frascuelo
paco,frascuelo
pancho,frascuelo
paquito,frascuelo
feck,freddercke
fedde,freddercke
fick,freddercke
freddie,frederica
rica,frederica
fred,frederick
freddy,frederick
rikke,frederikke
riika,fredriika
riikka,fredriikka
rieti,fredrik
frits,frerik
fritzi,friederike
rike,friederike
fritz,friedrich
fedya,fyodor
gaba,gabirel
gabek,gabirel
gabby,gabriel
gabe,gabriel
gable,gabriel
gay,gabriel
riel,gabriel
gabi,gabriele
brielle,gabrielle
gabbie,gabrielle
gaby,gabrielle
gabrys,gabryjel
gabriela,gabrysia
gale,galen
gala,galina
galya,galina
nettie,garnette
gare,gary
geertje,geertruida
truus,geertruida
veva,genevieve
geneva,genevieve
genna,genevieve
genny,genevieve
neva,genevieve
geoff,geoffrey
george,geordie
goga,georgi
georgia,georgie
gina,georgina
gigi,georgine
ginette,georgine
regine,georgine
gerry,gerald
jerry,gerald
ged,gerard
gerde,gerdi
gergo,gergely
gerd,gerhard
gert,gerhard
gertie,gertrude
trudy,gertrude
gianni,giambattista
gid,gideon
gidi,gideon
gijs,gijsbert
gib,gilbert
gil,gilbert
gill,gilbert
beistean,gillespie
giorgia,giorgina
giorgio,giorgino
gianna,giovannetta
giovanna,giovannetta
vanna,giovannetta
giannino,giovanni
nino,giovanni
vanni,giovanni
gisa,gisela
giulia,giulietta
beppe,giuseppe
pina,giuseppina
gizi,gizella
gluke,glukel
lieve,godelieve
gord,gordon
gotz,gottfried
grace,gracie
gracia,graciela
graziana,graziella
greg,gregor
gregg,gregor
greig,gregor
goito,gregorio
goyo,gregorio
grete,gretel
grisha,grigori
zelda,griselda
guto,gruffudd
lupe,guadalupe
guarin,guarinot
gunda,gundula
gunne,gunnar
staaf,gustaaf
gosta,gustaf
guga,gustavo
gaelle,gwenaelle
gwil,gwilym
gyuri,gyorgy
gyorgyi,gyorgyike
dassah,hadassa
hada,hadassa
hajnal,hajnalka
hamon,hamnet
hans,hampus
hanne,hannelore
hannah,hannie
hattie,harriet
wiebe,hartwig
harve,harvey
haze,hazel
heck,hector
heckie,hector
hedda,hedvig
hedy,hedwig
heike,heinrich
heiko,heinrich
heine,heinrich
heiner,heinrich
heino,heinrich
heinz,heinrich
heleen,heleentje
leni,helene
nelle,helenjane
nellie,helenjane
nelly,helenjane
hege,helga
henda,hendel
hein,hendrik
henk,hendrik
heintje,hendrika
hennie,hendrika
henio,hendrych
henrik,henning
hettie,henrietta
yetta,henrietta
herkus,henrikas
hal,henry
hank,henry
hepsie,hephziba
herb,herbert
herbie,herbert
herk,hercules
harm,herman
hernan,hernando
herodes,herodion
hirsh,herschel
honoree,honorine
jan,honza
howie,howard
hroda,hrodebert
lanzo,hrodland
rose,hrodohaidis
huib,hubertus
huub,hubertus
huet,hudde
hugh,hudde
shug,hudde
hum,humbert
huffie,humphrey
hasan,husayn
hyman,hymie
ioan,iancu
ida,idelle
ianto,iefan
nacho,ignacio
nacio,ignacio
iikka,iisakki
iiro,iisakki
ildi,ildiko
ildo,ildiko
ilmari,ilmarinen
