raw_name,name_group
ili,ilonka
ilka,ilonka
ilona,ilonka
imke,imma
man,immanuel
imre,imrus
indy,indiana
inge,ingeborg
kenya,innokentiy
oana,ioana
iolo,iorwerth
iolyn,iorwerth
irena,irenka
irina,irinushka
ibbie,isabel
izzie,isabel
izzy,isabel
bella,isabella
sabella,isabella
beileag,iseabail
dore,isidore
pisti,pista
iva,ivanka
ivana,ivanka
ivonne,ivonette
jorn,joergen
jaska,jaakko
jack,jackalyn
jacki,jackalyn
jackie,jackalyn
jaki,jackalyn
jakki,jackalyn
john,jackalyn
jae,jackson
jai,jackson
jay,jackson
jep,jackson
jo,jackson
joe,jackson
jon,jackson
coby,jacoba
bine,jacobine
cobus,jacobus
coos,jacobus
jaap,jacobus
kobus,jacobus
koos,jacobus
sjaak,jacobus
jacquette,jacqueline
jacqui,jacqueline
jadzia,jadwiga
wiga,jadwiga
wisia,jadwiga
ib,jakob
kuba,jakub
jari,jalmari
james,jamie
jem,jamie
jemmy,jamie
jim,jamie
jani,jancsi
janos,jancsi
jane,janeka
janez,janko
jarek,jarogniew
jaume,jaumet
jean,jean-baptiste
jeanne,jeanette
jed,jedidiah
jeff,jeffrey
jelka,jelena
jen,jennifer
jena,jennifer
jenae,jennifer
jenny,jennifer
jere,jeremiah
nejc,jernej
jess,jessenia
jessa,jessenia
jesse,jessenia
jessica,jessenia
jessie,jessenia
chus,jesusa
jill,jillian
achim,joachim
kim,joakim
asia,joanny
joanna,joanny
joasia,joanny
quim,joaquim
jojo,jobeth
job,joby
joss,jocelyn
jock,jockie
hanke,johan
hana,johana
hanna,johanna
hannele,johanna
janne,johanna
jenni,johanna
jonna,johanna
hannes,johannes
joop,johannes
jochjo,johano
jozefo,johano
johnna,johnnie
jola,jolanka
jolan,jolanka
jonty,jonathan
jonie,jonelle
juuso,jooseppi
joord,jordaan
judd,jordan
ze,josephine
fifi,josephine
josette,josephine
josiane,josephine
joey,joseph
josie,josephine
posy,josephine
josh,joshua
jozo,josip
jouko,joukahainen
jovana,jovanka
jef,jozef
joep,jozef
joos,jozef
jos,jozef
sjef,jozef
zef,jozef
pepca,jozefa
jozsi,jozsef
juana,juanita
juan,juanito
jitka,judita
judy,judith
jules,julia
liane,juliane
lianne,julianne
julie,juliet
juli,juliska
julek,juliusz
juozas,juozapas
jerzy,jurek
justy,justin
joost,justus
karcsi,kãroly
kaisa,kaarina
kalle,kaarle
kara,kacey
kay,kacey
keri,kacey
kiki,kacey
kora,kacey
kyla,kacey
kyra,kacey
kai,kajicek
kam,kameron
jacob,kapel
jake,kapel
jeb,kapel
liina,karoliina
kaja,karolina
kassy,kasandra
kata,katalin
kati,katalin
kato,katalin
kitti,katalin
kaija,katariina
katri,katariina
riina,katariina
triinu,katariina
kajsa,katarina
katica,katarina
katrin,katarine
karina,katarzyna
kasia,katarzyna
ekaterina,katerinka
katinka,katerinka
katja,katerinka
katrusha,katerinka
katunia,katerinka
katya,katerinka
kathe,katharine
kat,katherine
kate,katherine
kath,katherine
kathy,katherine
katie,katherine
khara,katherine
kitty,katherine
trine,katrine
kazia,kazimiera
kell,kelly
ken,kendal
nina,kenina
kenny,kenneth
kent,kenton
keren,kerenhappuch
kimbra,kimberly
kimmy,kimberly
kimi,kimiko
kirstie,kirstin
kezia,kizzie
klara,klaartje
klava,klavdiya
klimek,klemens
hilda,klothilda
koert,koenraad
kort,koenrad
koldo,koldobika
koloda,kolodka
kurt,konrad
kostya,konstantin
korbl,korbinian
kreine,kreindel
kreso,kresimir
senta,kreszentia
zenzi,kreszenz
kris,kristal
stiina,kristiina
tiina,kristiina
kia,kristina
krista,kristina
krister,kristoffer
krysia,krystyna
krzys,krzysztof
kinge,kunigunde
kylli,kyllikki
laci,lacie
lachie,lachlan
lockie,lachlan
elaine,lainey
lalage,lallie
lalla,lallie
lance,lancelot
lanny,lancelot
lara,larissa
tisha,latisha
lari,laureen
laura,laureen
larry,laurence
laz,laurence
laure,laurette
lauren,laurie
law,lawrence
lawrie,lawrence
leah,leatrice
leslaw,lechoslaw
leslawa,lechoslawa
lee,leeann
lem,lemuel
lemmy,lemuel
lelle,lennart
lenne,lennart
nenne,lennart
ileana,lenuta
len,leonard
lenny,leonard
leo,leonard
poldi,leopold
les,lesley
leslie,lessie
lech,leszek
lecia,letitia
tia,letitia
titty,letitia
lettie,lettice
lecso,levente
levi,levente
libena,libuse
lilo,lieselotte
liesje,lijsbeth
linda,lindy
linn,linnea
nea,linnea
llew,llewelyn
lowie,lodewijk
alojz,lojze
alonso,lonnie
lon,lonnie
lora,loreen
lenz,lorenz
renzo,lorenzo
lorri,lorraine
lou,louella
louie,louis
lulu,louise
ouida,louise
lovro,lovrenc
lucy,lucetta
lucia,lucilla
luke,lucky
ludo,ludovic
luchjo,ludoviko
ludde,ludvig
viggo,ludvig
lutz,ludwig
luigia,luigina
luigi,luigino
luisa,luisella
liddy,lydia
lynda,lyndi
lys,lysandra
lyuba,lyubov
lyyti,lyydia
mate,mateas
marja,maaike
mieke,maaike
miep,maaike
maaria,maarika
miia,maarika
kenzie,mackenzie
mack,mackenzie
maddie,madeline
lanty,maeleachlainn
leachlainn,maeleachlainn
alena,magdalena
lenka,magdalena
madlenka,magdalena
magda,magdalena
malin,magdalene
alina,magdalina
lone,magdalone
duci,magdolna
peigi,maighread
maisie,mairead
manon,mairin
marie,mairin
manju,manjula
manolo,manolete
manuel,manolete
manola,manolita
manuela,manolita
mae,maralyn
mamie,maralyn
marlyn,maralyn
mary,maralyn
maryjo,maralyn
marylu,maralyn
mayme,maralyn
moll,maralyn
mollie,maralyn
molly,maralyn
celina,marcelina
marcelle,marcellette
marcel,marcelon
marci,marcia
marcy,marcia
gretchen,margaret
madge,margaret
mag,margaret
maggie,margaret
marge,margaret
margie,margaret
may,margaret
meg,margaret
megan,margaret
greta,margareta
meta,margarete
grethe,margrethe
griet,margriet
grietje,margriet
margot,marguerite
maike,maria
meike,maria
mia,maria
mimi,maria
mitzi,maria
my,maria
ria,maria
mare,marija
mojca,marija
marina,marinella
reeta,maritta
reetta,maritta
manya,mariya
jaana,marjaana
jorie,marjorie
marla,marlene
marlie,marlene
duke,marmaduke
martie,martin
marty,martin
tinek,martin
marta,martita
masa,masaaki
marya,masha
mattie,matilda
tilda,matilda
tilly,matilda
tilde,matilde
leena,matleena
matrona,matryosha
motya,matryosha
matt,matthew
thijs,matthijs
maude,maudie
mo,maureen
max,maximilian
maeve,meaveen
meino,meinard
menno,meinard
mel,melanie
mindy,melinda
lissa,melissa
missy,melissa
mendel,menahem
merle,merletta
merv,mervyn
micha,michael
mick,michael
mickey,michael
mike,michael
miki,michael
mikki,michaela
michele,michelangelo
michela,michelina
chelle,michelle
shell,michelle
mieszko,mieczyslaw
mignon,mignonette
misi,miska
miha,mihael
mihai,mihaita
michijo,mihhaelo
miho,mihovil
misha,mikhail
mika,mikko
milan,miloslav
milos,miloslav
milosz,miloslaw
randa,miranda
randy,miranda
miro,mircea
mirek,miroslav
mitch,mitchell
desya,modest
modya,modest
modeste,modestine
mona,monica
monty,montague
montse,montserrat
mor,morag
motel,mordche
motke,mordche
mora,morgana
mort,mortimer
morty,mortimer
moe,moses
mose,moses
murty,muiriartach
murdie,murdanie
murdo,murdanie
murdoch,murdanie
murdy,murdanie
dina,murdina
tamid,mu'tamid
myf,myfanwy
myrtie,myrtle
nada,nadezda
nadeja,nadezda
nadya,nadezhda
natalka,nataliya
natalya,natasha
talya,natasha
tasha,natasha
nat,nathan
nate,nathan
neil,neely
ion,nelu
newt,newton
nico,nicholas
launo,nicholas
nick,nicholas
nicola,nicoletta
nikki,nicoletta
coco,nicolette
colette,nicolette
cora,nicolette
nicolae,nicusor
nicu,nicusor
klaus,niklaus
klaas,nikolaas
kolya,nikolai
nichjo,nikolao
nils,nisse
nkiru,nkiruka
noele,noelene
noella,noelle
ione,nonie
nora,noreen
nori,noriko
norm,norrie
norman,norrie
ogafia,ogafitsa
ogechi,ogechukwukama
ogrifina,ogrofenka
olli,olavi
olek,oleksander
noll,oliver
oli,oliver
ollie,oliver
olive,olivette
livia,olivia
livvy,olivia
olle,olov
femi,olufemi
olga,olya
onyeka,onyekachukwu
oz,osbert
osku,oskari
ottilie,ottoline
age,ove
dag,ove
peti,peterkin
pace,pacey
paulo,pachjo
page,paget
pam,pamela
panagiotis,panagiotakis
panos,panagiotakis
takis,panagiotakis
patxi,pantzeska
pascale,pascaline
pasquale,pasqualino
pat,patricia
patsy,patricia
patty,patricia
tricia,patricia
paddy,patrick
ipati,patya
paula,pauletta
paule,paulette
paul,paulie
pasha,pavel
pavla,pavlina
pearl,pearlie
peg,peggy
per,pelle
pen,penelope
pene,penelope
penny,penelope
jose,pepe
perce,percival
percy,percival
purdie,perdita
perry,peregrine
perla,perlita
peppi,perpetua
penko,petar
pero,petar
pehr,peterkin
pete,peterkin
peter,peterkin
petra,petrina
peronel,petronel
phil,philip
pip,philip
pippa,philippa
piera,pierina
perrin,pierre
pili,pilar
riitta,piritta
piri,piroska
pollie,pollyanna
polly,pollyanna
pris,priscilla
prisca,priscilla
prissy,priscilla
scilla,priscilla
pru,prudence
prue,prudence
przemek,przemyslaw
przemko,przemyslaw
petya,pyotr
queen,queenie
quin,quintin
robi,robert
rae,rachel
radim,radomir
rados,radomir
raclaw,radoslaw
rafa,rafael
raisa,raisel
ralph,ralphie
rama,ramakrishna
nero,raniero
ranj,ranjeet
ray,raymond
raya,rayna
becca,rebecca
becci,rebecca
becka,rebecca
beckah,rebecca
becky,rebecca
bekki,rebecca
reba,rebecca
reena,reenie
reg,reginald
reggie,reginald
rein,reiner
irene,renie
rena,renita
rube,reuben
ruby,reuben
dickie,richard
dicky,richard
rich,richard
richie,richard
rick,richard
rickie,richard
ricky,richard
riku,rikhard
bob,robert
bobbi,robert
bobby,robert
dob,robert
hob,robert
rab,robert
rabbie,robert
rob,robert
roban,robert
robbie,robert
robin,robert
bobbie,roberta
rod,roderick
roddy,roderick
rodge,rodger
rodya,rodion
rui,rodrigo
ruy,rodrigo
roel,roeland
rolf,roffe
rogatus,rogelius
dodge,roger
hodge,roger
rois,roisin
roly,roland
ron,ronnie
ronald,ronnie
roope,roopertti
ros,rosalind
rosa,rosangela
rosie,rosanna
rosy,rosanna
charo,rosario
romey,rosemary
rostek,rostislav
rostik,rostislav
rostya,rostislav
rostinka,rostislava
roxie,roxana
roz,rozanne
rozsa,rozsi
ruadh,ruadhan
rudi,rudolf
ruud,rudolf
rudy,rudolph
russ,russell
ruth,ruthie
sami,samuel
sanyi,sandor
sachie,sacheverell
saffie,saffron
sakke,sakari
saku,sakari
thor,salvatore
tore,salvatore
sam,samantha
sammy,samantha
samu,samuli
sans,sancho
santo,santino
santa,santuzza
sadie,sarah
sal,sarah
sally,sarah
sarit,sarah
sara,saranna
scott,scottie
bastiaan,sebastiaan
bastian,sebastian
sepi,sebastian
bastien,sebastien
bostjan,sebastjan
ike,sekel
isaac,sekel
sepp,seppel
fina,serafina
sera,seraphina
seve,severiano
shad,shadrach
shae,shaelyn
shayna,shaindel
chantal,shantae
shay,shaylyn
shig,shigeko
shimon,shimmel
shannah,shoshannah
shprintza,shprintzel
sian,siana
sid,sidney
sigi,siegfried
siiri,sigrid
siri,sigrid
silas,silouanus
fester,silvester
sly,silvester
vester,silvester
silva,silviya
simona,simonetta
simone,simonette
joris,sjors
sluaghadh,sluaghadhan
sobeska,sobeslava
sol,solomon
solly,solomon
sofya,sonya
frona,sophronia
spyro,spyridon
spyros,spyridon
stanko,stanislav
stas,stanislav
stanka,stanislava
stan,stanley
fane,stefan
stefcia,stefania
stef,stephanie
steffie,stephanie
steph,stephanie
stevie,stephanie
ste,stephen
steenie,stephen
steve,stephen
stew,stewart
stu,stuart
susana,susanita
sanna,susanna
sue,susanna
sukie,susanna
suse,susanna
susie,susanna
suzie,susanna
sanne,susanne
suzanne,suzette
svana,svanhildur
sveta,svetlana
svetla,svetlana
syd,sydney
tabby,tabitha
tabea,tabitha
tibby,tabitha
tadzio,tadeusz
lula,talulla
tamia,tamara
tammy,tamara
toma,tamara
tatu,taneli
teppo,tapani
taina,tatiana
tania,tatiana
tanja,tatiana
tanya,tatiana
seonag,teasag
dennis,tenney
denny,tenney
dye,tenney
tel,terence
terry,terence
tere,teresinha
teresa,teresinha
teca,terezia
terez,terezia
terhi,terhenetar
tess,tessie
tessa,tessie
tad,thaddeus
thad,thaddeus
thady,thaddeus
than,thanatos
theda,theodora
teuvo,theodore
theo,theodore
dosia,theodosia
teri,theresa
terrie,theresa
thera,theresa
trees,theresia
maas,thomas
thom,thomas
tom,thomas
tommy,thomas
tofa,thorfridr
tim,timothy
timmy,timothy
toby,tobias
tam,tomachan
tomag,tomachan
maso,tommaso
topi,topias
toshi,toshiaki
trace,tracy
trev,trevor
katrijn,trijntje
trini,trinidad
trish,trisha
tsveta,tsvetanka
tommi,tuomas
ty,tybalt
uilleag,uilleam
liam,uilliam
ueli,ulrich
utz,ulrich
ulla,ulrika
urska,ursula
ursel,ursula
uschi,ursula
vaino,vainamoinen
val,valentina
vali,valeriu
van,vance
nessa,vanessa
nessie,vanessa
ivann,vanya
varinka,varvara
varya,varvara
vasile,vasilica
vasya,vasiliy
veli,veikko
varda,vered
vreni,verena
vern,vernon
roni,veronica
nika,veronika
veca,vesna
vic,victor
vick,victor
vico,victor
tori,victoria
toria,victoria
vickie,victoria
vicky,victoria
vilho,vilhelmi
ville,vilhelmi
miina,vilhelmiina
mimmi,vilhelmiina
vilchjo,vilhelmo
viljo,viljami
vilko,viljem
vili,vilmos
cenck,vincenck
cenek,vincenck
vinca,vincenck
vincenc,vincenck
vinck,vincenck
vin,vincent
vince,vincent
vinnie,vincent
vi,violet
ginger,virginia
ginnie,virginia
virgie,virginia
vitya,vitaliy
vivian,viviette
vjeko,vjekoslav
vlatko,vladimir
volodya,vladimir
volya,vladimir
vova,vladimir
vlad,vsevolod
vuk,vukasin
ewald,waldo
wally,wallace
warin,warinot
walt,watkin
walter,watkin
wat,watkin
wislaw,wielislaw
wil,wilbur
wilf,wilfred
willi,wilhelm
wim,wilhelm
helma,wilhelmina
ilma,wilhelmina
minna,wilhelmina
minnie,wilhelmina
wilma,wilhelmina
mine,wilhelmine
jelle,willem
pim,willem
bill,william
billie,william
billy,william
will,william
willie,william
willy,william
winnie,winifred
wlodek,wlodzimierz
wojtek,wojciech
wolf,wolfgang
woody,woodrow
weit,wouter
yann,yanick
yaakov,yankel
yan,yanko
yakov,yasha
gora,yegor
gorya,yegor
yidel,yehudit
yutke,yehudit
lizaveta,yelizaveta
yente,yentl
zhenya,yevgeniya
yoni,yonatan
yoshi,yoshiaki
yuki,yukiko
yumi,yumiko
yosef,yussel
vonnie,yvonne
zach,zachary
zack,zackary
zed,zedekiah
zeph,zephaniah
zina,zinaida
zlatan,zlatko
zoe,zoey
zofia,zosia
zsiga,zsigmond
zsofia,zsofika
zsazsa,zsuzsanna
zsuzsa,zsuzsanna
zsuzsi,zsuzsanna
zvonko,zvonimir
